name_display,team_name_abbr,pass_cmp,pass_att,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_poor_throws,pass_on_target,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,rush_scrambles,xAtt,xCmp,xCmpPct,cmpDiff,cmpPctDiff
Matt Ryan,ATL,407,626,6,18,1,33,89,458,2.6,204,55,70,166,16,607,402,0.6622734761120264,-5,0.012113731703080721
Tom Brady,TAM,401,610,4,13,4,31,122,438,2.4,161,34,58,113,4,593,347,0.5851602023608768,-54,-0.07221684681945106
Ben Roethlisberger,PIT,399,608,13,2,0,39,91,463,2.1,175,42,51,106,3,606,411,0.6782178217821783,12,0.021967821782178265
Justin Herbert,LAC,396,595,7,7,4,23,105,447,2.4,170,85,70,187,25,584,365,0.625,-31,-0.040546218487394925
Patrick Mahomes,KAN,390,588,8,20,1,28,100,436,2.6,141,62,59,143,40,567,364,0.6419753086419753,-26,-0.021289997480473666
Josh Allen,BUF,396,572,4,22,0,25,88,435,2.6,244,64,47,137,29,550,372,0.6763636363636364,-24,-0.0159440559440559
Kyler Murray,ARI,375,558,14,25,8,13,88,405,2.4,156,55,24,106,51,525,330,0.6285714285714286,-45,-0.04347158218125957
Russell Wilson,SEA,384,558,4,24,1,27,84,424,2.6,206,65,67,179,53,533,367,0.6885553470919324,-17,0.0003833040811797028
Jared Goff,LAR,370,552,6,24,2,27,84,413,2.5,185,42,54,119,22,526,356,0.6768060836501901,-14,0.0065162285777263795
Deshaun Watson,HOU,382,544,5,19,2,19,79,420,2.5,168,75,47,171,62,523,360,0.6883365200764818,-22,-0.013869362276459296
Philip Rivers,IND,369,543,11,14,3,17,84,406,2.3,124,37,37,93,1,526,339,0.6444866920152091,-30,-0.03507131903451466
Matthew Stafford,DET,339,528,7,7,7,33,94,399,2.4,179,45,39,122,16,514,338,0.6575875486381323,-1,0.015542094092677705
Aaron Rodgers,GNB,372,526,3,23,3,27,69,406,2.5,168,33,28,81,24,500,364,0.728,-8,0.020775665399239474
Derek Carr,LVR,348,517,5,20,4,20,79,389,2.5,173,56,30,112,23,493,330,0.6693711967545639,-18,-0.003742923168066681
Kirk Cousins,MIN,349,516,11,27,3,18,67,395,2.6,181,56,78,173,17,486,346,0.7119341563786008,-3,0.035577567231314
