name_display,team_name_abbr,pass_cmp,pass_att,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_poor_throws,pass_on_target,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,rush_scrambles,xAtt,xCmp,xCmpPct,cmpDiff,cmpPctDiff
Joe Burrow,CIN,460,652,10,20,1,30,73,507,2.2,164,38,69,155,22,631,464,0.7353407290015848,4,0.029819256608946687
Aaron Rodgers,NYJ,368,584,13,16,0,39,98,429,2.3,141,35,52,127,16,568,370,0.6514084507042254,2,0.021271464402855544
Patrick Mahomes,KAN,392,581,10,26,2,26,87,425,2.3,140,46,70,152,36,553,364,0.6582278481012658,-28,-0.016470947079457066
Geno Smith,SEA,407,578,14,20,2,20,58,455,2.4,138,36,57,143,24,556,417,0.75,10,0.045847750865051884
Baker Mayfield,TAM,407,570,14,7,1,27,63,442,2.2,175,49,20,109,44,562,406,0.7224199288256228,-1,0.008384841106324536
Bo Nix,DEN,376,567,16,18,1,32,83,420,2.5,148,44,34,102,50,548,369,0.6733576642335767,-7,0.010218334427580245
Caleb Williams,CHI,351,562,9,36,4,20,110,378,2.4,174,52,40,160,51,522,288,0.5517241379310345,-63,-0.07283102221131432
Sam Darnold,MIN,361,545,10,29,1,19,77,400,2.6,137,52,52,152,28,515,342,0.6640776699029126,-19,0.0016923488019952027
Kyler Murray,ARI,372,541,14,19,1,17,66,412,2.4,155,47,23,100,42,521,363,0.6967370441458733,-9,0.009121517343655183
Jared Goff,DET,390,539,4,24,3,11,69,412,2.3,143,34,57,122,14,512,354,0.69140625,-36,-0.03215590213358066
C.J. Stroud,HOU,336,532,8,22,1,26,95,373,2.5,154,66,56,174,37,509,304,0.5972495088408645,-32,-0.034329438527556544
Matthew Stafford,LAR,340,517,15,15,1,15,88,372,2.4,144,31,63,122,3,501,299,0.5968063872255489,-41,-0.06083384488276833
Justin Herbert,LAC,332,504,10,14,3,32,67,388,2.5,156,20,62,123,31,487,353,0.7248459958932238,21,0.06611583716306513
